Property,Descriptions,中文名称,新描述
plannedEndTime,Date and time when the change implementation is planned to be finished,计划结束时间,变更实施计划结束的日期和时间。
hardwareVersion,0,硬件版本,硬件的版本号。
migrate,The involved resource data for the event,迁移,事件中涉及的迁移资源数据。
scale,The involved resource data for the event,伸缩,事件中涉及的伸缩资源数据。
heal,The involved resource data for the event,修复,事件中涉及的修复资源数据。
searchTimeSlot,The involved resource data for the event,搜索时间槽,事件中涉及的搜索时间槽资源数据。
dunningRule,The dunning case rule (that is the reason) this dunning rule (that is the action) is being done in accordance with,催款规则,执行催款动作所依据的催款案例规则（原因）。
problemTicket,0,问题工单,与问题相关的工单。
impactEntity,0,影响实体,受影响的实体。
changeRequestCharacteristic,0,变更请求特征,变更请求的特征。
changeRelationship,0,变更关系,变更之间的关系。
budget,0,预算,相关的预算。
scheduledDate,Date and time that the schedule is made,计划日期,制定计划的日期和时间。
workLog,0,工作日志,工作日志。
targetEntity,0,目标实体,目标实体。
sla,0,服务等级协议(SLA),相关的服务等级协议。
clearTime,"The clear time  of the incident, for example 2020-03-10T04:01:12Z; The clear time of the incident",清除时间,事件（Incident）被清除的时间。
dateFirstUsed,0,首次使用日期,首次使用的日期。
connectivity,Internal connectivity of contained resource functions.,连通性,所包含的资源功能之间的内部连通性。
autoModification,List of the kinds of auto-modifications that are applied to a given network service e.g what can be scaled.,自动修改,应用于给定网络服务的自动修改类型列表，例如哪些可以被伸缩。
functionType,A type of the Resource Function as specified by the provider of the API.,功能类型,由API提供商指定的资源功能的类型。
startTime,The time when the heal action needs to commence. This allows a delay to be added; The time when the migration needs to commence. This allows a delay to be added,开始时间,修复或迁移动作需要开始的时间。
cause,Reason why healing is being requested; Reason why migration is being requested,原因,请求修复或迁移的原因。
reservationItem,0,预留项,预留的具体项目。
batteryLevel,0,电池电量,设备的电池电量。
operator,Comparison operator to be used in the evaluation.,操作符,将在评估中使用的比较操作符。
conformancePeriod,An interval of time during which the Conformance Target must be measured.,符合性周期,必须在其中测量符合性目标的时间间隔。
thresholdTarget,"A percent that is used to specify when a warning should be used that indicates a Performance threshold is in danger of not being met.; A value that used to specify when a warning should be used 
that indicates an objective is danger of not being met. Notice, the data type should be adjusted case by case.",阈值目标,用于指定何时应发出警告，表明性能阈值或目标有未达成的危险的值。
contentQuery,is the filter that will be applied on the content of the Event.,内容查询,将应用于事件内容的过滤器。
queryProductStock,The involved resource data for the event,查询产品库存,事件中涉及的查询产品库存资源数据。
reserveProductStock,The involved resource data for the event,预留产品库存,事件中涉及的预留产品库存资源数据。
checkProductStock,The involved resource data for the event,检查产品库存,事件中涉及的检查产品库存资源数据。
adjustProductStock,The involved resource data for the event,调整产品库存,事件中涉及的调整产品库存资源数据。
sliceQualityOfServiceParametersPacketErrorRate,"The Packet Error Rate (PER) defines an upper bound for the rate of PDUs (e.g. IP packets) that have been processed by the sender but that are not successfully delivered by the corresponding receiver. The purpose of the PER is to allow for the appropriate link layer, protocol configurations (e.g. RLC and HARQ in RAN of a 3GPP access). For all 5QIs the value of the PER is the same in UL and DL. For GBR QoS Flows with Delay critical GBR resource type, a packet which is delayed more than PDB (but which complies with the GFBR and MDBV (Maximum Data Burst Volume) requirements) is counted as lost, and included in the PER. This value needs to be provided for each customised 5QI value selected.",切片QoS-丢包率,定义了网络切片中数据包（PDU）允许的最高丢失率。
NSSAARequired,"Network Slice Specific Authentication and Authorization (NSSAA). This attribute specifies whether for the Network Slice, devices need to be also authenticated and authorized by a AAA server using additional credentials different than the ones used for the primary authentication (see Rel-16 of 3GPP TS 23.501 [1] clause 5.15.10 for a definition of the Network Slice Specific Authentication and Authorization feature). ",是否需要NSSAA,一个布尔值，表明设备是否需要通过网络切片特定认证和授权（NSSAA）才能接入。
statusChange,The status change history that are associated to the ticket.Populated by the server,状态变更,与故障单关联的状态变更历史记录。
edgeSpecCharacteristic,A characteristic quality or distinctive feature of an EdgeSpecification.,边规约特征,边规约（EdgeSpecification）的一个特征或独特属性。
edgeCharacteristic,0,边特征,边的特征。
bidirectional,Indicates if this Edge is birectional (true) or unidirection originating from the first vertex (false).,是否为双向,一个布尔值，表明一条边是双向的（true）还是单向的（false）。
productStockUsageType,"The usage type of the  ProductStock, such as inTransit, damaged, onDisplay, etc..",产品库存使用类型,产品库存的使用类型，例如“在途”、“已损坏”、“展示中”。
productStockStatusType,"The status of the ProductStock, such as available, unavailable, reserved, unknown",产品库存状态类型,产品库存的状态，例如“可用”、“不可用”、“已预留”。
productStockRelationship,relationship to other product stock,产品库存关系,与其他产品库存的关系。
productStockLevel,0,产品库存水平,产品库存的水平。
minStockLevel,0,最低库存水平,最低库存水平。
installSize,The amount and units (e.g. 800MB) required to install the SoftwareResource.,安装大小,安装此软件资源所需的空间大小和单位（例如800MB）。
releaseStatus,Defines the particualr release status of this SoftwareResourceSpecification.,发布状态,定义了此软件资源规约的特定发布状态。
serviceLevelObjective,The involved resource data for the event,服务等级目标(SLO),事件中涉及的服务等级目标资源数据。
relatedServiceLevelObjective,A list of objectives related to this service level specification,关联服务等级目标,与此服务等级规约相关的目标列表。
pointOfInteraction,0,交互点,交互发生的点。
toleranceTarget,"A value that specifies the allowable variation of a conformance 
Target. The data type should be adjusted case by case.",容忍目标,指定了符合性目标的可允许变化范围的值。
graceTimes,"The number of times an objective can remain un-updated without 
a violation of a Service Level Agreement in reference to a measurement period and/or Service Level Agreement reporting period.",宽限次数,在一个度量周期内，目标可以保持未更新而不违反SLA的次数。
conformanceTarget,"A value used to determine if Service Level Objective is met. 
The data type should be adjusted case by case.",符合性目标,用于确定是否满足服务等级目标（SLO）的值。
conformanceComparator,"An operator that specifies whether a Service Level Objective is 
violated above or below the conformanceTarget.",符合性比较符,一个操作符，指定服务等级目标是在符合性目标之上还是之下被违反。
cancelResourceReservation,The involved resource data for the event,取消资源预留,事件中涉及的取消资源预留资源数据。
multimediaPriorityService,Multimedia Priority Service (MPS) leads to priority of traffic relative to other traffic. Note: Not including this attribute is equal to setting it to Non-MPS.  ,多媒体优先服务(MPS),表明网络切片是否支持多媒体优先服务（MPS），以获得相对于其他流量的优先权。
averagingWindow,"millisecond Each GBR QoS Flow shall be associated with an Averaging window. The Averaging window represents the duration over which the GFBR and MFBR shall be calculated (e.g. in the (R)AN, UPF, UE). (see clause 5.7.3.6 of 3GPP TS 23.501 [1]).",平均窗口,计算保证比特率（GFBR）和最大比特率（MFBR）所依据的平均时间窗口，单位为毫秒。
vertexSpecCharacteristic,A characteristic quality or distinctive feature of a VertexSpecification.,顶点规约特征,顶点规约（VertexSpecification）的一个特征或独特属性。
vertexCharacteristic,0,顶点特征,顶点的特征。
resourceSpec,0,资源规约,相关的资源规约（模板）。
productSpec,0,产品规格,相关的产品规格（模板）。
warrantyRelationship,0,保修关系,保修之间的关系。
warrantyAgreement,0,保修协议,保修协议。
appliesToResource,0,适用于资源,适用于的资源。
finalBalance,The final balance of the Billing Account after all Dunning Case Rules are executed and the dunning case is closed,最终余额,在所有催款案例规则执行完毕且催款案例关闭后，计费账户的最终余额。
performanceThreshold,0,性能阈值,性能的阈值。
monitoredObjectsCriteria,0,被监控对象标准,被监控对象的标准。
extensionInfo,A generic list of any type of elements. Used for vendor Extensions or loose element encapsulation from other namespaces; This is used for extend the incident with attributes,扩展信息,一个通用的、可包含任何类型元素的列表，用于厂商扩展或封装其他命名空间的元素。
serviceLevelObjectiveParameter,A parameter for this objective,服务等级目标参数,此服务等级目标的参数。
serviceLevelObjectiveConsequence,A list of consequences for this objective.,服务等级目标后果,此服务等级目标的后果列表。
productStatus,"The condition of the product, such as planned, designed, activated, disconnected.",产品状态,产品的状态，例如“计划中”、“已设计”、“已激活”、“已断开”。
partnerCatalog,The partner catalog category reference maps to a category containing the partner product offerings,合作伙伴目录,合作伙伴目录分类引用，指向包含合作伙伴产品目录的分类。
loyltyProgramProduct,The array of loyalty program products that the member is enrolled to.,忠诚度计划产品,（拼写错误）会员已注册的忠诚度计划产品数组。
warrantySpecRelationship,0,保修规约关系,保修规约之间的关系。
warrantyDuration,0,保修时长,保修的持续时间。
warrantyAgreementSpecification,0,保修协议规约,保修协议的规约（模板）。
EPSCountingRequiredUE,"If this parameter indicates that EPS counting is required, the UE sessions counting shall also take into account the PDN connections in the EPS connected to an APN that maps to a DNN/S-NSSAI of the network slice. ",是否需要EPS UE计数,一个布尔值，表明在统计网络切片会话数时，是否也应计算连接到EPS（4G）网络的PDN连接。
NB-IoTSupport,This parameter describes whether NB-IoTis supported in the network slice,是否支持NB-IoT,表明网络切片是否支持窄带物联网（NB-IoT）。
MMTelSupport,This attribute describes whether the network slice supports IP Multimedia Subsystem (IMS) and Multimedia Telephony Service MMTel. This parameter describes whether the GSMA PRD IR.92 0 compliant MMTel deployment is supported in the network slice,是否支持MMTel,表明网络切片是否支持IP多媒体子系统（IMS）和多媒体电话服务（MMTel）。
missionCriticalSupport,"Mission-critical (MC) leads to a priority of the network slice relative to others, for C-plane (Control Plane) and U-plane (User Plane) decisions. This is relative to a customer provider relationship and to a PLMN (Public land Mobile Network)",是否支持关键任务,表明网络切片是否支持关键任务（Mission-critical），以获得相对于其他切片的更高优先级。
maximumSupportedPacketSize,"This attribute describes the maximum packet size in Bytes supported by the network slice and may be important for URLLC (Ultra-Reliable Low Latency Communication) and MIoT (Massive IoT), or to indicate a supported maximum transmission unit (MTU).",最大支持包大小,网络切片支持的最大数据包大小（以字节为单位）。
logicalIsolation,"Logical network slices are logically separated. Virtual resources isolation a network slice has access to specific range of resources that do not overlap with other network slices (e.g. VM isolation). Network functions isolation   NF (Network Function) is dedicated to the NSC, but virtual resources are shared. Tenant/Service Isolation  NSC data are isolated from other NSCs, but virtual resources and NFs are shared",逻辑隔离,网络切片的逻辑隔离级别，例如虚拟机隔离、网络功能隔离。
physicalIsolation,"Physical network slices are physically separated (e.g. different rack, different hardware, different location, etc.). Process and threads isolation,  Physical memory isolation, Physical network isolation",物理隔离,网络切片的物理隔离级别，例如不同机架、不同硬件。
isolation,"Isolation is one of the key expectations of network slicing. A network slice instance may be fully or partly, logically and/or physically, isolated from another network slice instance. ",隔离性,网络切片的隔离级别，可以是物理的、逻辑的，或两者兼有。
appliesToProduct,0,适用于产品,适用于的产品。
queryWorkQualification,The involved resource data for the event,查询工作资格,事件中涉及的查询工作资格资源数据。
isSource,"A flag indicating if the participant involved in a relationship is the source or not. If this flag is true for both roles in an association, the association is bi-directional (both end points are navigable); A flag indicating if the participant involved in a uni-directional relationship is the source or not. This flag is true If the association is bi-directional",是否为源端,一个布尔值，表明关系中的参与方是否为源端。若关系中两端都为true，则为双向关系。
subRule,References to sub-rules,子规则,对子规则的引用。
policyName,A generic naming attribute that can be used to identify different policy entities.,策略名称,可用于识别不同策略实体的通用命名属性。
positioningSupportAccuracy,This parameter describes the accuracy of the location information. Accuracy depends on the respective positioning solution applied in the network slice,定位支持-精度,表明网络切片提供的定位信息的精度。
positioningSupportPredictionFrequency,"This parameter describes how often location information is provided. This parameter simply defines how often the customer is allowed to request location information. This is not related to the time it takes to determine the location, which is a characteristic of the positioning method.",定位支持-预测频率,表明客户被允许请求定位信息的频率。
positioningSupportAvailability,This parameter describes if this attribute is provided by the network slice and contains a list of positioning methods provided by the slice. If the list is empty this attribute is not available in the network slice and the other parameters might be ignored,定位支持-可用性,表明网络切片是否提供定位支持，并列出支持的定位方法。
otherDesignator,Enables the manufacturer to label this software as having some set of special restrictions.,其他标识符,允许制造商为此软件标记某些特殊限制。
minorVersion,Defines the minor number component of the version of SoftwareResourceSpecification.,次版本号,软件资源规约版本的次版本号部分。
majorVersion,Defines the major number component of the version of SoftwareResourceSpecification.,主版本号,软件资源规约版本的主版本号部分。
maintenanceVersion,Defines the maintenance number component of the version of SoftwareResourceSpecification.,维护版本号,软件资源规约版本的维护版本号部分。
isExperimental,True represents a special build (perhaps as a trial to suit specific customer needs).,是否为实验性,一个布尔值，为true时表示这是一个特殊的构建版本（例如用于试验）。
isDistributable,Designates the SoftwareResource as being able to be distributed across multiple physically distinct Resources.,是否可分发,一个布尔值，表明此软件资源是否可以分发到多个物理上分离的资源上。
buildNumber,Defines the internal identifier for the compilation of this unit of a SoftwareResourceSpecification.,构建号,此软件资源规约单元编译的内部标识符。
requestedTimeSlot,0,期望的时间槽,请求者期望的时间段。
qualificationRelationship,Structure used to describe relationship between serviceQualification item from the same serviceQualification.,资格查询关系,描述同一次服务资格查询中不同查询项之间的关系。
nonFunctionalTestExecution,The involved resource data for the event,非功能性测试执行,事件中涉及的非功能性测试执行资源数据。
testSuiteExecution,The involved resource data for the event,测试套件执行,事件中涉及的测试套件执行资源数据。
testCaseExecution,The involved resource data for the event,测试用例执行,事件中涉及的测试用例执行资源数据。
nonFunctionalTestResult,The involved resource data for the event,非功能性测试结果,事件中涉及的非功能性测试结果资源数据。
testSuiteResult,The involved resource data for the event,测试套件结果,事件中涉及的测试套件结果资源数据。
testCaseResult,The involved resource data for the event,测试用例结果,事件中涉及的测试用例结果资源数据。
testSuiteResultDefinition,0,测试套件结果定义,测试套件结果的定义。
keywords,A string attribute that defines a set of one or more keywords that a policy administrator may use to assist in characterizing or categorizing a policy object to facilitate search operations.,关键字,一组用于描述或分类策略对象的关键字，以方便搜索。
isMandatoryEvaluation,"A Boolean attribute that, if true, signifies that evaluation (and possibly action execution) of this entity is mandatory and must be attempted. If the Mandatory property value of this entity is false, then the evaluation of this entity is considered to be 'best effort' and may be ignored.",是否强制评估,一个布尔值，为true时表示必须尝试评估此策略实体。
isCNF,"This is a Boolean attribute that, if true, defines the condition clause of this rule to be represented in Conjunctive Normal Form (e.g., an AND of ORs). If the value of this attribute is false, then the condition clause will be represented in Disjunctive Normal Form (e.g., an OR of ANDs).",是否为合取范式(CNF),一个布尔值，为true时表示规则的条件子句是合取范式（AND of ORs），否则是析取范式（OR of ANDs）。
entityCatalog,The involved resource data for the event,实体目录,事件中涉及的实体目录资源数据。
associationRoleSpec,Role specifications for this association,关联角色规约,此关联关系的角色规约。
targetPlatform,Defines the target platform that the SoftwareResource will be deployed on.,目标平台,软件资源将被部署的目标平台。
isDistributedCurrent,True defines this SoftwareResource as being currently distributed across several Resource nodes.,当前是否为分布式,一个布尔值，为true时表示此软件资源当前正分发在多个资源节点上。
dunningRuleCharacteristic,0,催款规则特征,催款规则的特征。
dunningEvent,A string describing the name of the fields of an event that should be monitored for changes. It should be in the same format as the query string used to subscribe to events from an API following hub/notification pattern,催款事件,应被监控以触发催款流程的事件字段名称。
partyPrivacyProfileSpecCharacteristic,"List of characteristics of the specification, whose values would typically be supplied when the profile is instantiated",参与方隐私配置规约特征,规约的特征列表，其值通常在实例化配置时提供。
concreteResourceMapping,0,具体资源映射,具体资源的映射关系。
resourceManagerUrl,0,资源管理器URL,资源管理器的URL链接。
testCaseResultDefinition,0,测试用例结果定义,测试用例结果的定义。
workSpecRelationship,"Relationship to another work specification, might be dependency, substitution, etc.
",工作单元规约关系,与另一个工作单元规约的关系，可能是依赖、替代等。
isAppointmentRequired,0,是否需要预约,是否需要预约。
generalArtifactDefinition,0,通用工件定义,通用工件的定义。
testScenarioDefinition,0,测试场景定义,测试场景的定义。
partyRoleSpecificationCharacteristic,0,参与方角色规约特征,参与方角色规约的特征。
dunningCondition,"A condition to check on the customer account or the customer bill, after a dunning event has been fired, before dunning action is executed. Format is the same as the predicate used for querying resources with attribute filtering. Format for the values and variables of the expression is implementation dependent",催款条件,在执行催款动作前，对客户账户或账单进行检查的条件。
dunningAction,"The action to be executed when the dunningEvent occurs if the dunning condition evaluates to true. Can be either ""DunningNotification"", ""AppliedCustomerFeeCharge"", ""ProductOrder"", ""CustomerBill"" or ""DunningWriteOff""",催款动作,当催款事件发生且条件满足时执行的动作，如“发送通知”、“收取滞纳金”等。
initialBalance,The initial balance of the billing account that caused the dunning case to be created by a dunning rule (or by an admin in case POST API call was used to create it),初始余额,触发催款案例的计费账户初始余额。
metadataSpecCharacteristic,List of characteristics that the entity can take,元数据规约特征,实体可以拥有的特征列表。
compositeMetadataSpecification,A type of MetadataSpecification that belongs to a grouping of MetadataSpecifications. It inherits of all attributes of MetadataSpecification.,组合元数据规约,属于元数据规约分组的一种类型，继承了元数据规约的所有属性。
isComposed,Indicates if the metadata specification is part of a composite specification,是否为组合,一个布尔值，表明此元数据规约是否是组合规约的一部分。
MetadataCatalogItem,The involved resource data for the event,元数据目录项,此分类引用的元数据目录项。
roleSpecification,The list of roles specifications a engaged party will be able to play for this kind of partnership,角色规约,参与方在此类合作关系中能够扮演的角色规约列表。
testResourceAPIDefinition,0,测试资源API定义,测试资源API的定义。
nonFunctionalTestResultDefinition,0,非功能性测试结果定义,非功能性测试结果的定义。
testDataSchemaDefinition,0,测试数据结构定义,测试数据结构的定义。
testDataInstanceDefinition,0,测试数据实例定义,测试数据实例的定义。
actualEndTime,Date and time when the change implementation actually finished,实际结束时间,变更实施实际完成的日期和时间。
dunningScenario,0,催款场景,催款的场景。
dunningCaseRule,0,催款案例规则,催款案例的规则。
lastActivityDate,The date and time that the dunning case had its latest activity,最后活动日期,催款案例最近一次活动的日期和时间。
provisioningArtifactDefinition,0,部署工件定义,部署工件的定义。
concreteEnvironmentMetaModelDefinition,0,具体环境元模型定义,具体环境元模型的定义。
abstractEnvironmentDefinition,0,抽象环境定义,抽象环境的定义。
partnershipSpecification,The involved resource data for the event,合作关系规约,事件中涉及的合作关系规约资源数据。
taskFlowSpecificationRelationship,Relationship to another TaskFlowSpecification from a same ProcessFlowSpecification,任务流规约关系,同一个流程规约下，与另一个任务流规约的关系。
taskFlowSpecificationCharacteristic,List of characteristics that the TaskFlowSpecification can take,任务流规约特征,任务流规约可以拥有的特征列表。
relatedProcessFlowSpecification,A related ProcessFlowSpecification (for example when the taskFlowSpecification completion required another ProcessFLowSpecification to be triggered & completed),关联流程规约,关联的流程规约。
taskFlowSpecificationType,"Type of the TaskFlowSpecification like send task, receive task, user task, manual task, script task, business rule task",任务流规约类型,任务流规约的类型，如“发送任务”、“用户任务”、“脚本任务”等。
radioSpectrum,Defines the radio spectrum supported by the network slice. See NR operating band identifiers in 3GPP TS 38.101-4,无线频谱,表明网络切片支持的无线电频谱。
promotionType,Type of promotion. The basic type are Award/Discount/Reduction.,促销类型,促销的类型，基本类型为“奖励”、“折扣”、“降价”。
testSuiteDefinition,0,测试套件定义,测试套件的定义。
testCaseDefinition,0,测试用例定义,测试用例的定义。
nonFunctionalTestModelDefinition,0,非功能性测试模型定义,非功能性测试模型的定义。
serviceQualification,The involved resource data for the event,服务资格,事件中涉及的服务资格资源数据。
policySpecificationRef,This is a list of policy references applied to this specification,策略规约引用,应用于此规约的策略引用列表。
actualStartTime,Date and time when the change implementation actually started,实际开始时间,变更实施实际开始的日期和时间。
cancelResourceOrder,The involved resource data for the event,取消资源订单,事件中涉及的取消资源订单资源数据。
orderType,Name of the Resource Order type,订单类型,资源订单的类型名称。
processFlowSpecificationRelationship,Relationship to another processFlowSpecification,流程规约关系,与另一个流程规约的关系。
processFlowSpecificationCharacteristic,List of characteristics that the processFlowSpecification can take,流程规约特征,流程规约可以拥有的特征列表。
aiContractViolation,The involved resource data for the event,AI合同违约,事件中涉及的AI合同违约资源数据。
modelTrainingData,0,模型训练数据,模型的训练数据。
modelSpecificationHistory,0,模型规格历史,模型的规格历史。
modelEvaluationData,0,模型评估数据,模型的评估数据。
modelDataSheet,0,模型数据表,模型的数据表。
assetUserRole,0,资产用户角色,资产用户的角色。
specCharacteristicValue,The value or values that this characteristic can take on,规约特征值,此特征可以拥有的一个或多个值。
groupCommunicationSupport,This parameter describes which type of group communication is provided by the network slice. ,是否支持组通信,表明网络切片支持哪种类型的组通信。
delayTolerance,"Provide the NSC with service delivery flexibility, especially for the vertical services that are not chasing a high system performance. For instance, the service will be delivered once the mobile system has sufficient resources or during the off-peak hours. For this type of traffic, it is not too critical how long it takes to deliver the amount of data, e.g. within hours, days, weeks, etc.",延迟容忍,表明网络切片是否支持延迟容忍的流量，即允许在非高峰时段或系统资源充足时再交付数据。
availability,"(Communication service)availability: percentage value of the amount of time the end-to-end communication service is delivered according to an agreed QoS, divided by the amount of time the system is expected to deliver the end-to-end service according to the specification in a specific area",可用性,（通信服务）可用性：在特定区域内，端到端通信服务按约定QoS交付的时间占总期望交付时间的百分比。
privilege,0,特权,相关的特权。
modelContractVersionHistory,0,模型合约版本历史,模型合约的版本历史。
inheritedModel,0,继承的模型,继承的模型。
gpu,Reference to GPU in Inventory,GPU,库存中GPU的引用。
resourceSpecCharacteristicValue,"A CharacteristicValueSpecification object is used to define a set of attributes, each of which can be assigned to a corresponding set of attributes in a ResourceSpecificationCharacteristic object. The values of the attributes in the CharacteristicValueSpecification object describe the values of the attributes that a corresponding ResourceSpecificationCharacteristic object can take on.; A list of resource spec characteristic values (ResourceSpecCharacteristicValue [*]). A ResourceSpecCharacteristicValue object is used to define a set of attributes, each of which can be assigned to a corresponding set of attributes in a ResourceSpecCharacteristic object. The values of the attributes in the ResourceSpecCharacteristicValue object describe the values of the attributes that a corresponding ResourceSpecCharacteristic object can take on.",资源规约特征值,用于定义一组可分配给资源规约特征对象的属性。
resourceSpecCharRelationship,"A list of resource spec char relationships (ResourceSpecCharRelationship [*]). An aggregation, migration, substitution, dependency or exclusivity relationship between/among Specification Characteristics.; An aggregation, migration, substitution, dependency or exclusivity relationship between/among Specification Characteristics.",资源规约特征关系,资源规约特征之间的聚合、迁移、替代、依赖或排他关系。
troubleTicketSpecCharacteristic,List of characteristics that the entity can take,故障单规约特征,实体可以拥有的特征列表。
iotServiceSpecification,The involved resource data for the event,物联网服务规约,事件中涉及的物联网服务规约资源数据。
Latency from (last) UFP to Application Server,"Latency in Secondsmfrom (last) UFP to Application Server This optional attribute specifies maximum or worst case one-way latency between UPF and application server offered by the slice. This does not include latency introduced by the application server. In the case of chained UPFs, this refers to the last UPF (in the chain) towards the application server. This attribute extends what is covered by the 3GPP QoS PDB attribute (see GST QoS attribute) which is only between UE and UPF. This is an optional attribute for network slices that offer latency objectives between UPF and application server residing within the operator network. ",(末梢)UPF到应用服务器延迟,网络切片提供的、从（最后一个）UPF到应用服务器的最大单向延迟（秒）。
V2XCommunicationMode,This parameter describes if the V2X communication mode is supported by the network slice.,是否支持V2X通信模式,表明网络切片是否支持V2X（车联网）通信模式。
dataNetworkAccessTunnellingMechanism,The attribute defines the tunnelling mechanism; how the user data can be delivered to the external private data network. 3GPP TS 29.561 [12] lists the interworking with data networks and tunnelling mechanism used,数据网络访问隧道机制,定义了用户数据如何通过隧道机制传送到外部私有数据网络。
dataNetworkAccessDataAccessPerNetwork,"This attribute describes the capability for the NSC to manage their users or groups of users’ network services and corresponding requirements. For instance, if NSC Y orders a network slice which is capable to support X users of Y, then Y should be capable to decide which X users could use this network slice. Hence, Y could manage the users, in terms of add, modify or delete users to receive network services provided by the specific network slice.",数据网络访问-按网络访问,描述了网络切片客户管理其用户或用户组网络服务和需求的能力。
requestedPOQCompletionDate,Deadline date when the requester expected a qualification answer,期望POQ完成日期,（应为requestedPOQCompletionDate）请求者期望得到产品可提供性资格查询答复的截止日期。
deploymentRecord,0,部署记录,部署的记录。
trainingData,Reference to training data set,训练数据,训练数据集的引用。
software,Reference to Software in Inventory,软件,库存中软件的引用。
cancelWorkOrder,The involved resource data for the event,取消工单,事件中涉及的取消工单资源数据。
scheduledSendTime,The scheduled time for sending the communication message,计划发送时间,通信消息的计划发送时间。
messageType,"The type of message, such as: SMS, Email, Mobile app push notification",消息类型,消息的类型，例如“短信”、“邮件”、“移动应用推送”。
logFlag,0,日志标志,日志的标志。
completionMessage,an optional message describing the completion of the task if it is done as expected or it is denied for a reason (like order in an state of PoNR).,完成消息,描述任务完成情况的可选消息。
lastInventoryDate,Last inventory count date for this ProductStock.,最后盘点日期,此产品库存的最后一次库存盘点日期。
maxStockLevel,0,最高库存水平,最高库存水平。
stockLevelCategory,Category of the ProductStock,库存水平分类,产品库存的分类。
replenishmentDate,Planned date for future replenishment for this ProductStock.,补货日期,此产品库存的未来计划补货日期。
stockedProduct,"Product stocked in this product stock  - could be via a productSpecification, a ProductSpecification + valued characteristic, etc. ",库存产品,此产品库存中存放的产品。
stockLevelAlert,0,库存水平告警,库存水平的告警。
reorderQuantity,0,再订购数量,再订购的数量。
userManagementOpenness,"This attribute describes the capability for the NSC to manage their users or groups of users’ network services and corresponding requirements. For instance, if NSC Y orders a network slice which is capable to support X users of Y, then Y should be capable to decide which X users could use this network slice. Hence, Y could manage the users, in terms of add, modify or delete users to receive network services provided by the specific network slice.",用户管理开放性,描述了网络切片客户管理其用户或用户组网络服务和需求的能力。
UplinkThroughputPerUEServiceCategory,"This attribute defines a service category wich may be assigned to a UE, associated to a Simlultaneous class value",上行吞吐量-每UE服务类别,定义了可分配给UE的服务类别，与一个并发类值相关联。
uplinkThroughputPerUEMaximumUplinkThroughput,"This attribute describes the maximum data rate supported by the network slice per UE in uplink. These parameters could be used in order to offer different contract qualities like gold, silver and bronze. kbps",上行吞-每UE最大上行吞吐量,描述网络切片为每个UE支持的最大上行数据速率（kbps）。
uplinkThroughputPerNetworkSliceMaximumUplinkThroughput,This attribute describes the guaranteed data rate supported by the network slice in uplink. There are services (e.g. emergency services) where guaranteed uplink throughput is required. bps,上行吞-每切片最大上行吞吐量,描述网络切片支持的保证上行数据速率（bps）。
sender,The sender of this message,发送者,此消息的发送者。
tryTimes,How many times do you want to retry the delivery of this message?,重试次数,您希望重试此消息传递的次数。
subject,"The title of the message, necessary for the email and mobile app push",主题,消息的标题，对于邮件和移动应用推送是必需的。
sendTimeComplete,The time of completion of sending communication message,发送完成时间,通信消息发送完成的时间。
sendTime,The time of sending communication message,发送时间,通信消息发送的时间。
UEDensity,This attribute describes the maximum number of connected and/or accessible devices per unit area (per km2) supported by the network slice.Number per km2,UE密度,描述网络切片支持的每单位面积（每平方公里）的最大连接和/或可访问设备数。
sliceQualityOfServiceParametersPacketDelayBudget,"The Packet Delay Budget (PDB) defines an upper bound for the time that a packet may be delayed between the UE and the UPF, that terminates the N6 interface. For a certain 5QI the value of the PDB is the same in UL (Uplink) and DL (Downlink). In the case of 3GPP access, the PDB is used to support the configuration of scheduling and link layer functions (e.g. the setting of scheduling priority weights and HARQ (Hybrid Automatic Repeat request) target operating points).",切片QoS-包延迟预算(PDB),定义了一个数据包在UE和UPF之间允许的最大延迟时间。
sliceQualityOfServiceParametersPriorityLeve,"The Priority level associated with 5G QoS characteristics indicates a priority in scheduling resources among QoS Flows. The Priority level shall be used to differentiate between QoS Flows of the same UE, and it shall also be used to differentiate between QoS Flows from different UEs. Once all QoS requirements up to GFBR are fulfilled for all the Guaranteed Bit Rate (GBR) QoS Flows, the Priority Level may also be used to distribute resources between GBR QoS Flows (for rates above GFBR up to MFBR, Maximum Flow Bit Rate) and non- GBR QoS Flows, in an implementation specific manner. The lowest Priority level value corresponds to the highest Priority [1]. This value needs to be provided for each customised 5QI value selected..",切片QoS-优先级,（拼写错误，应为PriorityLevel）与5G QoS特征关联的优先级，用于在QoS流之间调度资源。数值越低，优先级越高。
sliceQualityOfServiceParameters5QI,"A 5QI is a scalar used as a reference to 5G QoS characteristics defined in clause [1], i.e. access node-specific parameters that control QoS forwarding treatment for the QoS Flow (e.g. scheduling weights, admission thresholds, queue management thresholds, link layer protocol configuration, etc.). 3GPP has already defined standardized 5QI to QoS characteristics mapping. See 5QI value in the table of GNST",切片QoS-5QI,一个用于参考5G QoS特征的标量，控制QoS转发处理。
simultaneousUseOfNetworkSliceServiceCategory,"This attribute defines a service category wich may be assigned to a UE, associated to a Simlultaneous class value",网络切片并发使用-服务类别,定义了可分配给UE的服务类别，与一个并发类值相关联。
