Schema,Descriptions,中文名称,新描述
ApplicationOwnerPartyOrPartyRole_FVO,Schema that permits to identify an Individual or an Organisation in the Open Gateway context.,应用所有者(参与方或角色),在Open Gateway场景下，用于标识作为应用所有者的个人或组织。
ApplicationOwnerPartyOrPartyRole_MVO,,应用所有者(参与方或角色),在Open Gateway场景下，用于标识作为应用所有者的个人或组织。
ApplicationOwnerRelatedIndividual_FVO,,应用所有者关联个人,与应用所有者相关的个人信息。
ApplicationOwnerRelatedIndividual_MVO,,应用所有者关联个人,与应用所有者相关的个人信息。
ApplicationOwnerRelatedLocalRepresentative_FVO,,应用所有者关联本地代表,与应用所有者相关的本地代表信息。
ApplicationOwnerRelatedLocalRepresentative_MVO,,应用所有者关联本地代表,与应用所有者相关的本地代表信息。
ApplicationOwnerRelatedOrganization_FVO,,应用所有者关联组织,与应用所有者相关的组织信息。
ApplicationOwnerRelatedOrganization_MVO,,应用所有者关联组织,与应用所有者相关的组织信息。
ApplicationRef_FVO,Reference to an Application.,应用引用,用于简要引用一个应用。
AssetGroup_FVO,"Defines a group of assets (entities) to which access can be controlled. Specific subclasses allow definition in various ways (list of entities, queries, ownership by customer, etc.). AssetGroup is not a managed entity, its concrete subclasses are always included by value in their containing entities.",资产组,定义一组可以进行访问控制的资产（实体），用于权限管理。
AssetGroup_MVO,"Defines a group of assets (entities) to which access can be controlled. Specific subclasses allow definition in various ways (list of entities, queries, ownership by customer, etc.). AssetGroup is not a managed entity, its concrete subclasses are always included by value in their containing entities.",资产组,定义一组可以进行访问控制的资产（实体），用于权限管理。
AssociationSpecificationRef_FVO,reference to an AssociationSpecification object,关联规约引用,用于简要引用一个定义实体间关联关系的模板或规则。
AssociationSpecificationRef_MVO,reference to an AssociationSpecification object,关联规约引用,用于简要引用一个定义实体间关联关系的模板或规则。
Attachment_FVO,,附件,描述一个附件的完整信息，如文件类型、大小、URL链接等。
Attachment_MVO,,附件,描述一个附件的完整信息，如文件类型、大小、URL链接等。
AttachmentRef_FVO,,附件引用,用于简要引用一个附件（如文档、图片）的信息，通常包含ID和链接。
AttachmentRef_MVO,,附件引用,用于简要引用一个附件（如文档、图片）的信息，通常包含ID和链接。
AttachmentRefOrValue_FVO,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Attachment entity and not the AttachmentRefOrValue class itself",附件引用或值,一个灵活的模型，既可以包含一个完整的附件信息（值），也可以只包含对一个已存在附件的引用。
AttachmentRefOrValue_MVO,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Attachment entity and not the AttachmentRefOrValue class itself",附件引用或值,一个灵活的模型，既可以包含一个完整的附件信息（值），也可以只包含对一个已存在附件的引用。
BaseEvent_FVO,,基础事件,所有具体事件模型的通用基础，定义了事件ID、事件时间等公共属性。
BaseEvent_MVO,,基础事件,所有具体事件模型的通用基础，定义了事件ID、事件时间等公共属性。
BillingAccountRef_FVO,,计费账户引用,用于简要引用一个用于计费和支付的账户。
BillingAccountRef_MVO,,计费账户引用,用于简要引用一个用于计费和支付的账户。
BiometricCredential_FVO,,生物特征凭证,一种凭证类型，使用生物特征进行认证，例如指纹、人脸识别。
BiometricCredential_MVO,,生物特征凭证,一种凭证类型，使用生物特征进行认证，例如指纹、人脸识别。
BooleanArrayCharacteristic_FVO,,布尔数组特征,Characteristic的具体实现，其值必须是布尔值数组。
BooleanArrayCharacteristic_MVO,,布尔数组特征,Characteristic的具体实现，其值必须是布尔值数组。
BooleanArrayCharacteristicValueSpecification_FVO,,布尔数组特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔数组类型的特征值定义规则。
BooleanArrayCharacteristicValueSpecification_MVO,,布尔数组特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔数组类型的特征值定义规则。
BooleanCharacteristic_FVO,,布尔特征,Characteristic的具体实现，其值必须是布尔值（true/false）。
BooleanCharacteristic_MVO,,布尔特征,Characteristic的具体实现，其值必须是布尔值（true/false）。
BooleanCharacteristicValueSpecification_FVO,,布尔特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔值（true/false）类型的特征值定义规则。
BooleanCharacteristicValueSpecification_MVO,,布尔特征值规约,CharacteristicValueSpecification的具体实现，用于为布尔值（true/false）类型的特征值定义规则。
BusinessPartner_FVO,When business partner is the BusinessPartner,业务合作伙伴,特指在业务关系中作为合作伙伴的参与方（Party）。
BusinessPartner_MVO,When business partner is the BusinessPartner,业务合作伙伴,特指在业务关系中作为合作伙伴的参与方（Party）。
CalendarPeriod_FVO,,日历周期,表示日历上的一个时间段，例如“周一至周五”或“每月1号”。
CalendarPeriod_MVO,,日历周期,表示日历上的一个时间段，例如“周一至周五”或“每月1号”。
CategoryRef_FVO,Reference to a category in the catalog.,分类引用,用于简要引用一个分类或类别。
CategoryRef_MVO,Reference to a category in the catalog.,分类引用,用于简要引用一个分类或类别。
Cdr_FVO,An occurrence of employing a product for its intended purpose with all rating details,通信详单记录(CDR),对一次通信事件（如通话、短信、数据会话）的详细记录，是计费的原始依据。
Cdr_MVO,An occurrence of employing a product for its intended purpose with all rating details,通信详单记录(CDR),对一次通信事件（如通话、短信、数据会话）的详细记录，是计费的原始依据。
CdrCharacteristic_FVO,Provides the value of a given characteristic,通信详单特征,通信详单（CDR）中的一个具体特征属性及其值。
CdrCharacteristic_MVO,Provides the value of a given characteristic,通信详单特征,通信详单（CDR）中的一个具体特征属性及其值。
CdrTransaction_FVO,,通信详单交易,与处理通信详单（CDR）相关的交易，通常用于合作方之间的结算。
CdrTransaction_MVO,,通信详单交易,与处理通信详单（CDR）相关的交易，通常用于合作方之间的结算。
CdrTransactionItem_FVO,,通信详单交易项,通信详单交易中的一个具体项目，例如某个参与方的收入分成明细。
CdrTransactionItem_MVO,,通信详单交易项,通信详单交易中的一个具体项目，例如某个参与方的收入分成明细。
ChannelRef_FVO,"The channel to which the resource reference to. e.g. channel for selling product offerings, channel for opening a trouble ticket etc..",渠道引用,用于简要引用一个交互渠道，如网上营业厅、实体店、客服热线等。
ChannelRef_MVO,"The channel to which the resource reference to. e.g. channel for selling product offerings, channel for opening a trouble ticket etc..",渠道引用,用于简要引用一个交互渠道，如网上营业厅、实体店、客服热线等。
Characteristic_FVO,,特征 / 属性,描述一个对象（如产品、服务）的具体属性，以“名称-值”对（name-value pair）的形式存在，例如“颜色-红色”。
Characteristic_MVO,,特征 / 属性,描述一个对象（如产品、服务）的具体属性，以“名称-值”对（name-value pair）的形式存在，例如“颜色-红色”。
CharacteristicRelationship_FVO,,特征关系,定义不同特征（Characteristic）之间的关系，例如一个特征依赖于另一个特征。
CharacteristicRelationship_MVO,,特征关系,定义不同特征（Characteristic）之间的关系，例如一个特征依赖于另一个特征。
CharacteristicSpecification_FVO,,特征规约,定义一个特征的模板，描述其名称、数据类型、允许值等元数据，用于创建具体的特征实例。
CharacteristicSpecification_MVO,,特征规约,定义一个特征的模板，描述其名称、数据类型、允许值等元数据，用于创建具体的特征实例。
CharacteristicSpecificationRelationship_FVO,,特征规约关系,定义不同特征规约（模板）之间的关系，例如一个特征规约依赖另一个。
CharacteristicSpecificationRelationship_MVO,,特征规约关系,定义不同特征规约（模板）之间的关系，例如一个特征规约依赖另一个。
CharacteristicValueSpecification_FVO,,特征值规约,定义一个特征（Characteristic）可以接受的值的规则，例如值的范围、单位或是否为默认值。
CharacteristicValueSpecification_MVO,,特征值规约,定义一个特征（Characteristic）可以接受的值的规则，例如值的范围、单位或是否为默认值。
CheckCredential_FVO,,检查凭证,用于验证一个用户凭证（如密码、令牌）是否有效的操作请求。
CheckPermission_FVO,,检查权限,用于检查某个用户或角色是否拥有执行特定操作的权限。
common_FVO,,通用定义,通常用于存放API中多个模型共用的通用属性或定义。
common_MVO,,通用定义,通常用于存放API中多个模型共用的通用属性或定义。
ConstraintRef_FVO,,约束引用,用于简要引用一个约束规则或条件。
ConstraintRef_MVO,,约束引用,用于简要引用一个约束规则或条件。
Consumer_FVO,,消费者,特指作为产品或服务最终消费者的参与方（Party）。
Consumer_MVO,,消费者,特指作为产品或服务最终消费者的参与方（Party）。
ContactMedium_FVO,,联系方式,描述一种联系方式的通用模型，如电话号码、电子邮箱、邮寄地址等。
ContactMedium_MVO,,联系方式,描述一种联系方式的通用模型，如电话号码、电子邮箱、邮寄地址等。
context_FVO,,上下文 (JSON-LD),JSON-LD中的一个关键字，用于定义简短术语与IRI（国际化资源标识符）之间的映射。
context_MVO,,上下文 (JSON-LD),JSON-LD中的一个关键字，用于定义简短术语与IRI（国际化资源标识符）之间的映射。
CorrelationHeader,,关联标识头,HTTP Header，用于跨系统调用链中传递相关性 ID（Correlation ID），支持请求追踪和日志关联。
Cost_FVO,,成本,一个通用的成本模型，可以是预计成本或实际成本。
Cost_MVO,,成本,一个通用的成本模型，可以是预计成本或实际成本。
CostItem_FVO,,成本项,构成总成本的一个具体项目。
CostItemAllocation_FVO,,成本项分摊,描述一个成本项如何在不同部门或项目之间进行分摊。
CostItemRelationship_FVO,,成本项关系,描述不同成本项之间的关系。
CostRelationship_FVO,,成本关系,描述不同成本记录之间的关系。
CreateGeographicAddressRequestParameters,,创建地理地址请求参数,用于提交新地理地址（如街道、城市、邮编）信息的请求体。
CreateGeographicAddressRequestParametersHeader,,创建地理地址请求头参数,对应 Header 定义，如版本号、授权信息。
CreateGeographicAddressValidationRequestParameters,,创建地址验证请求参数,用于验证地址合法性（如邮编格式或坐标有效性）的请求参数。
CreateGeographicAddressValidationRequestParametersHeader,,创建地址验证请求头参数,对应 Header 定义。
CreateTroubleTicketRequestParameters,,创建故障工单请求参数,用于创建 TroubleTicket（客户报障单）的请求体结构。
CreateTroubleTicketRequestParametersHeader,,创建故障工单请求头参数,对应 Header 定义。
CreateTroubleTicketSpecificationRequestParameters,,创建工单规格请求参数,定义工单模板或分类规则的请求体。
CreateTroubleTicketSpecificationRequestParametersHeader,,创建工单规格请求头参数,对应 Header 定义。
Credential_FVO,,凭证,用于证明身份或权限的通用信息载体，如密码、令牌、证书等。
Credential_MVO,,凭证,用于证明身份或权限的通用信息载体，如密码、令牌、证书等。
CredentialRefOrValue_FVO,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the Credential entity and not the CredentialRefOrValue class itself.",凭证引用或值,一个灵活的模型，既可以包含一个完整的凭证信息，也可以只包含对一个已存在凭证的引用。
CreditProfile_FVO,,信用档案,描述信用状况的通用模型，包括信用评分、风险评级等。
CreditProfile_MVO,,信用档案,描述信用状况的通用模型，包括信用评分、风险评级等。
DataAccessEndpoint_FVO,,数据访问端点,描述用于访问数据的网络端点地址和协议信息。
DataAccessEndpoint_MVO,,数据访问端点,描述用于访问数据的网络端点地址和协议信息。
DataExportCountry_FVO,,数据导出国家,在数据导出操作中，指定目标国家，通常与数据主权法规相关。
DataFilterMap_FVO,,数据过滤映射表,一组用于数据过滤的映射项集合。
DataFilterMap_MVO,,数据过滤映射表,一组用于数据过滤的映射项集合。
DataFilterMapItem_FVO,definition of a field used for filtering template with the associated attributes.,数据过滤映射项,过滤模板中的一个具体字段及其相关属性。
DataFilterMapItem_MVO,definition of a field used for filtering template with the associated attributes.,数据过滤映射项,过滤模板中的一个具体字段及其相关属性。
DataFilterTemplate_FVO,,数据过滤模板,定义一个用于数据筛选的模板。
DataFilterTemplate_MVO,,数据过滤模板,定义一个用于数据筛选的模板。
DayOfMonthRecurrence_FVO,,按月重复,定义了按月重复的计划，例如“每月15日上午10点”。
DayOfMonthRecurrence_MVO,,按月重复,定义了按月重复的计划，例如“每月15日上午10点”。
DayOfWeekRecurrence_FVO,,按周重复,定义了按周重复的计划，例如“每周一、周三上午9点”。
DayOfWeekRecurrence_MVO,,按周重复,定义了按周重复的计划，例如“每周一、周三上午9点”。
DCSProductOrderItem_FVO,An identified part of the order. A product order is decomposed into one or more order items.,DCS产品订单项,数字化客户自服务（DCS）场景下的产品订单项。
DeleteGeographicAddressRequestParameters,,删除地理地址请求参数,删除指定地理地址资源时使用的参数。
DeleteGeographicAddressRequestParametersHeader,,删除地理地址请求头参数,对应 Header 定义。
DeleteTroubleTicketRequestParameters,,删除故障工单请求参数,删除 TroubleTicket 资源的参数。
DeleteTroubleTicketRequestParametersHeader,,删除故障工单请求头参数,对应 Header 定义。
DeleteTroubleTicketSpecificationRequestParameters,,删除工单规格请求参数,删除 TroubleTicketSpecification 的参数。
DeleteTroubleTicketSpecificationRequestParametersHeader,,删除工单规格请求头参数,对应 Header 定义。
DigitalIdentity_FVO,,数字身份,个人、组织或设备在网络世界中的数字化标识，用于交互和认证。
DigitalIdentity_MVO,,数字身份,个人、组织或设备在网络世界中的数字化标识，用于交互和认证。
DocumentSpecificationRef_FVO,,文档规约引用,用于简要引用一个文档规约（模板）。
DocumentSpecificationRef_MVO,,文档规约引用,用于简要引用一个文档规约（模板）。
DocumentSpecificationRefOrValue_FVO,,文档规约引用或值,一个灵活的模型，既可以包含一个完整的文档规约信息，也可以只包含对一个已存在规约的引用。
DocumentSpecificationRefOrValue_MVO,,文档规约引用或值,一个灵活的模型，既可以包含一个完整的文档规约信息，也可以只包含对一个已存在规约的引用。
DongleCredential_FVO,,加密狗凭证,一种凭证类型，存储在物理硬件（加密狗）中。
DongleCredential_MVO,,加密狗凭证,一种凭证类型，存储在物理硬件（加密狗）中。
DpvContext_FVO,,DPV-上下文,W3C数据隐私词汇表中定义的、描述数据处理相关背景信息的模型。
DpvProcess_FVO,,DPV-处理过程,W3C数据隐私词汇表中定义的、描述一次完整数据处理过程的模型。
EmailContactMedium_FVO,,邮件联系方式,专门用于表示电子邮件地址的联系方式。
EmailContactMedium_MVO,,邮件联系方式,专门用于表示电子邮件地址的联系方式。
Entity_FVO,Base entity schema for use in TMForum Open-APIs. Property.,实体,所有TMForum API资源模型的基础，提供了像id和href这样的通用属性。
Entity_MVO,Base entity schema for use in TMForum Open-APIs. Property.,实体,所有TMForum API资源模型的基础，提供了像id和href这样的通用属性。
EntityRef_FVO,,实体引用,用来引用另一个独立实体（比如客户、产品）的摘要信息，通常只包含ID和链接（href），以避免数据重复。
EntityRef_MVO,,实体引用,用来引用另一个独立实体（比如客户、产品）的摘要信息，通常只包含ID和链接（href），以避免数据重复。
EntityRefOrValue_FVO,,实体引用或值,一个灵活的模型，既可以包含一个完整的实体信息，也可以只包含对一个已存在实体的引用。
EntityRefOrValue_MVO,,实体引用或值,一个灵活的模型，既可以包含一个完整的实体信息，也可以只包含对一个已存在实体的引用。
EntityRelationship_FVO,A uni-directionmal relationship from this entity to a target entity instance,实体关系,描述从一个实体到另一个实体的单向关系，并可以定义关系的类型。
EntityRelationship_MVO,A uni-directionmal relationship from this entity to a target entity instance,实体关系,描述从一个实体到另一个实体的单向关系，并可以定义关系的类型。
EntitySpecification_FVO,,实体规约,定义一个实体的模板，描述其通用的属性、关系和约束。
EntitySpecification_MVO,,实体规约,定义一个实体的模板，描述其通用的属性、关系和约束。
EntitySpecificationRelationship_FVO,"A migration, substitution, dependency or exclusivity relationship between/among entity specifications.",实体规约关系,定义实体规约（模板）之间的关系，如替代、依赖或排他关系。
EntitySpecificationRelationship_MVO,"A migration, substitution, dependency or exclusivity relationship between/among entity specifications.",实体规约关系,定义实体规约（模板）之间的关系，如替代、依赖或排他关系。
Event_FVO,,事件,描述系统中发生的某个具体事件的详细信息，例如“客户创建成功”事件。
Event_MVO,,事件,描述系统中发生的某个具体事件的详细信息，例如“客户创建成功”事件。
ExpressionSpecification_MVO,,表达式规约,用于定义意图表达式的模板。
Extensible_FVO_FVO,Base Extensible schema for use in TMForum Open-APIs - When used for in a schema it means that the Entity described by the schema  MUST be extended with the @type,可扩展实体,一个基础模型，允许在运行时通过@type字段动态指定其具体类型，从而实现多态和灵活扩展。
Extensible_MVO,Base Extensible schema for use in TMForum Open-APIs - When used for in a schema it means that the Entity described by the schema  MUST be extended with the @type,可扩展实体,一个基础模型，允许在运行时通过@type字段动态指定其具体类型，从而实现多态和灵活扩展。
ExternalIdentifier_FVO,,外部标识符,用于记录实体在其他外部系统中的ID或标识。
ExternalIdentifier_MVO,,外部标识符,用于记录实体在其他外部系统中的ID或标识。
FaxContactMedium_FVO,,传真联系方式,专门用于表示传真号码的联系方式。
FaxContactMedium_MVO,,传真联系方式,专门用于表示传真号码的联系方式。
Feature_FVO,,功能特性,描述产品或服务的一个具体功能或组成部分。
Feature_MVO,,功能特性,描述产品或服务的一个具体功能或组成部分。
FeatureRelationship_FVO,,功能特性关系,定义不同功能特性之间的关系，例如一个功能依赖另一个功能。
FeatureRelationship_MVO,,功能特性关系,定义不同功能特性之间的关系，例如一个功能依赖另一个功能。
FieldsParameter,,字段选择参数,"定义响应中要返回的字段，用于减少冗余（例如 ?fields=id,name,status）。"
FileTransferData_FVO,,文件传输数据,描述通过文件传输方式（如FTP）获取数据的相关信息。
FileTransferData_MVO,,文件传输数据,描述通过文件传输方式（如FTP）获取数据的相关信息。
FilterAssetGroup_FVO,,过滤资产组,一种资产组，通过一组过滤条件来定义其成员。
FilterAssetGroup_MVO,,过滤资产组,一种资产组，通过一组过滤条件来定义其成员。
FloatArrayCharacteristic_FVO,,浮点数组特征,Characteristic的具体实现，其值必须是浮点数数组。
FloatArrayCharacteristic_MVO,,浮点数组特征,Characteristic的具体实现，其值必须是浮点数数组。
FloatArrayCharacteristicValueSpecification_FVO,,浮点数组特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数组类型的特征值定义规则。
FloatArrayCharacteristicValueSpecification_MVO,,浮点数组特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数组类型的特征值定义规则。
FloatCharacteristic_FVO,,浮点数特征,Characteristic的具体实现，其值必须是浮点数。
FloatCharacteristic_MVO,,浮点数特征,Characteristic的具体实现，其值必须是浮点数。
FloatCharacteristicValueSpecification_FVO,,浮点数特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数类型的特征值定义规则。
FloatCharacteristicValueSpecification_MVO,,浮点数特征值规约,CharacteristicValueSpecification的具体实现，用于为浮点数类型的特征值定义规则。
GCProductOrderItem_FVO,General Context ProductOrderItem that can be used as a Domain Specialization Order Item or as a non-specialised OrderItem.,通用产品订单项,一种通用的产品订单项，既可以作为特定领域的订单项基类，也可以直接用作非专业化的订单项。
GeographicAddress_FVO,,地理地址,描述一个结构化的邮寄地址，包含国家、城市、街道、门牌号等信息。
GeographicAddress_MVO,,地理地址,描述一个结构化的邮寄地址，包含国家、城市、街道、门牌号等信息。
GeographicAddressContactMedium_FVO,,地址联系方式,专门用于表示邮寄地址的联系方式。
GeographicAddressContactMedium_MVO,,地址联系方式,专门用于表示邮寄地址的联系方式。
GeographicAddressIdParameter,,地理地址 ID 参数,唯一标识地理地址资源的参数。
GeographicAddressRef_FVO,Reference to a Geographic Address.,地理地址引用,用于简要引用一个结构化的地理地址。
GeographicAddressRef_MVO,Reference to a Geographic Address.,地理地址引用,用于简要引用一个结构化的地理地址。
GeographicAddressValidation_FVO,,地理地址验证,用于验证一个地理地址是否真实、准确、有效的操作请求。
GeographicAddressValidation_MVO,,地理地址验证,用于验证一个地理地址是否真实、准确、有效的操作请求。
GeographicAddressValidationNotificationPayload,,地理地址验证通知载荷,当地址验证结果产生时推送的事件载荷，包含验证状态与结果详情。
GeographicLocation_FVO,,地理位置,用经纬度等坐标信息来定义一个地理点或地理区域。
GeographicLocation_MVO,,地理位置,用经纬度等坐标信息来定义一个地理点或地理区域。
GeographicLocationRef_FVO,,地理位置引用,用于简要引用一个地理位置（坐标点或区域）。
GeographicLocationRef_MVO,,地理位置引用,用于简要引用一个地理位置（坐标点或区域）。
GeographicLocationRefOrValue_FVO,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the GeographicLocation entity and not the GeographicLocationRefOrValue class itself",地理位置引用或值,一个灵活的模型，既可以包含一个完整的地理位置信息（值），也可以只包含对一个已存在地理位置的引用。
GeographicLocationRefOrValue_MVO,"The polymorphic attributes @type, @schemaLocation & @referredType are related to the GeographicLocation entity and not the GeographicLocationRefOrValue class itself",地理位置引用或值,一个灵活的模型，既可以包含一个完整的地理位置信息（值），也可以只包含对一个已存在地理位置的引用。
GeographicSite_FVO,,地理站点,描述一个具有物理边界的场地，例如一栋建筑、一个数据中心或一个基站。
GeographicSite_MVO,,地理站点,描述一个具有物理边界的场地，例如一栋建筑、一个数据中心或一个基站。
GeographicSiteFeature_FVO,,地理站点特征,描述地理站点的一个特定功能或属性，例如“有WiFi覆盖”。
GeographicSiteFeature_MVO,,地理站点特征,描述地理站点的一个特定功能或属性，例如“有WiFi覆盖”。
GeographicSiteRelationship_FVO,,地理站点关系,定义不同地理站点之间的关系，例如一个站点包含另一个站点。
GeographicSiteRelationship_MVO,,地理站点关系,定义不同地理站点之间的关系，例如一个站点包含另一个站点。
GeographicSubAddress_FVO,,地理子地址,描述一个完整地址内部的细分部分，例如楼层、公寓、房间号等。
GeographicSubAddress_MVO,,地理子地址,描述一个完整地址内部的细分部分，例如楼层、公寓、房间号等。
GeographicSubAddressUnit_FVO,,地理子地址单元,地址的更小单元，例如公寓号、楼层、单元号等。
GeographicSubAddressUnit_MVO,,地理子地址单元,地址的更小单元，例如公寓号、楼层、单元号等。
GeoJsonLineString_FVO,GeoJson LineString is a collection of points forming a connected line,地理线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
GeoJsonLineString_MVO,GeoJson LineString is a collection of points forming a connected line,地理线 (GeoJSON),GeoJSON标准格式：由一系列坐标点连接而成的线。
GeoJsonMultiLineString_FVO,GeoJson MultiLineString is a one or more GeoJSON LineStrings,地理多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
GeoJsonMultiLineString_MVO,GeoJson MultiLineString is a one or more GeoJSON LineStrings,地理多线 (GeoJSON),GeoJSON标准格式：由多条独立的线（LineString）组成的集合。
GeoJsonMultiPoint_FVO,GeoJson MultiPoint is a one or more GeoJSON points,地理多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
GeoJsonMultiPoint_MVO,GeoJson MultiPoint is a one or more GeoJSON points,地理多点 (GeoJSON),GeoJSON标准格式：由多个坐标点（Point）组成的集合。
GeoJsonMultiPolygon_FVO,A GeoJson MultiPolygon is an array of polygons,地理多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
GeoJsonMultiPolygon_MVO,A GeoJson MultiPolygon is an array of polygons,地理多多边形 (GeoJSON),GeoJSON标准格式：由多个多边形（Polygon）组成的集合。
GeoJsonPoint_FVO,A GeoJsonPoint is a single point,地理点 (GeoJSON),GeoJSON标准格式：代表一个位置的单个坐标点。
GeoJsonPoint_MVO,A GeoJsonPoint is a single point,地理点 (GeoJSON),GeoJSON标准格式：代表一个位置的单个坐标点。
GeoJsonPolygon_FVO,A GeoJsonPolygon is an array of linear rings,地理多边形 (GeoJSON),GeoJSON标准格式：由一个或多个线性环（linear ring）组成的区域。
GeoJsonPolygon_MVO,A GeoJsonPolygon is an array of linear rings,地理多边形 (GeoJSON),GeoJSON标准格式：由一个或多个线性环（linear ring）组成的区域。
graph_FVO,,图谱 (JSON-LD),JSON-LD中的一个关键字，用于表示一组节点和边的集合。
graph_MVO,,图谱 (JSON-LD),JSON-LD中的一个关键字，用于表示一组节点和边的集合。
HourPeriod_FVO,,小时周期,表示一天中的一个时间段，例如“上午9点到下午5点”。
HourPeriod_MVO,,小时周期,表示一天中的一个时间段，例如“上午9点到下午5点”。
Hub_FVO,Sets the communication endpoint address the service instance must use to deliver notification information,事件订阅回调端点,用于设置一个接收通知的回调地址（URL）。当某个事件发生时，系统会向这个地址发送通知。
IdParameter,,ID 参数,通用的资源标识参数，用于 GET /{id}、DELETE /{id} 等接口。
Individual_FVO,,个人,描述一个自然人的详细信息，例如姓名、出生日期、国籍等。
Individual_MVO,,个人,描述一个自然人的详细信息，例如姓名、出生日期、国籍等。
IndividualIdentification_FVO,,个人标识,个人的身份证明文件信息，例如身份证号码、护照号码。
IndividualIdentification_MVO,,个人标识,个人的身份证明文件信息，例如身份证号码、护照号码。
IntegerArrayCharacteristic_FVO,,整数数组特征,Characteristic的具体实现，其值必须是整数数组。
IntegerArrayCharacteristic_MVO,,整数数组特征,Characteristic的具体实现，其值必须是整数数组。
IntegerArrayCharacteristicValueSpecification_FVO,,整数数组特征值规约,CharacteristicValueSpecification的具体实现，用于为整数数组类型的特征值定义规则。
IntegerArrayCharacteristicValueSpecification_MVO,,整数数组特征值规约,CharacteristicValueSpecification的具体实现，用于为整数数组类型的特征值定义规则。
IntegerCharacteristic_FVO,,整数特征,Characteristic的具体实现，其值必须是整数。
IntegerCharacteristic_MVO,,整数特征,Characteristic的具体实现，其值必须是整数。
IntegerCharacteristicValueSpecification_FVO,,整数特征值规约,CharacteristicValueSpecification的具体实现，用于为整数类型的特征值定义规则。
IntegerCharacteristicValueSpecification_MVO,,整数特征值规约,CharacteristicValueSpecification的具体实现，用于为整数类型的特征值定义规则。
Intent_FVO,,意图,描述一个期望达成的目标状态或业务目的，而不是具体的操作步骤。
Intent_MVO,,意图,描述一个期望达成的目标状态或业务目的，而不是具体的操作步骤。
IntentExpression_FVO,,意图表达式,用特定语言（如JSON-LD）来结构化地表达一个业务意图（Intent）。
IntentExpression_MVO,,意图表达式,用特定语言（如JSON-LD）来结构化地表达一个业务意图（Intent）。
IntentRef_FVO,"Intent reference, for when Intent is used by other entities",意图引用,用于简要引用一个业务或技术“意图”（即期望达到的目标状态）。
IntentRef_MVO,"Intent reference, for when Intent is used by other entities",意图引用,用于简要引用一个业务或技术“意图”（即期望达到的目标状态）。
IntentRefOrValue_FVO,Intent Ref (if Intent already exists) or Value (if Intent be created or its details be presented),意图引用或值,一个灵活的模型，既可以包含一个完整的意图信息（值），也可以只包含对一个已存在意图的引用。
IntentRefOrValue_MVO,Intent Ref (if Intent already exists) or Value (if Intent be created or its details be presented),意图引用或值,一个灵活的模型，既可以包含一个完整的意图信息（值），也可以只包含对一个已存在意图的引用。
IntentSpecification_FVO,,意图规约,意图的模板或蓝图，定义了一类意图的参数、目标和约束。
IntentSpecification_MVO,,意图规约,意图的模板或蓝图，定义了一类意图的参数、目标和约束。
IntentSpecificationRelationship_FVO,,意图规约关系,描述不同意图规约（模板）之间的关系。
IntentSpecificationRelationship_MVO,,意图规约关系,描述不同意图规约（模板）之间的关系。
ISO31661Alpha2StandardIdentifier_FVO,,ISO 3166-1 Alpha-2国家代码,一种标准标识符，用于表示符合ISO 3166-1 Alpha-2标准的两位字母国家代码，例如'CN'代表中国。
ISO31661Alpha2StandardIdentifier_MVO,,ISO 3166-1 Alpha-2国家代码,一种标准标识符，用于表示符合ISO 3166-1 Alpha-2标准的两位字母国家代码，例如'CN'代表中国。
JsonLdExpression_FVO,,JsonLd表达式,使用JSON-LD格式表示的意图表达式。
JsonLdExpression_MVO,,JsonLd表达式,使用JSON-LD格式表示的意图表达式。
JsonLdExpressionValue_FVO,Json LD expression value schema,JsonLd表达式值,使用JSON-LD格式表示的表达式的值。
JsonLdExpressionValue_MVO,Json LD expression value schema,JsonLd表达式值,使用JSON-LD格式表示的表达式的值。
JsonPatch_FVO,Path  structure,JSON补丁,遵循RFC 6902标准的一种格式，用于描述如何对一个JSON文档进行局部修改（如增加、替换、删除字段）。
JsonPatch_MVO,Path  structure,JSON补丁,遵循RFC 6902标准的一种格式，用于描述如何对一个JSON文档进行局部修改（如增加、替换、删除字段）。
JSONPathAssetGroup_FVO,,JSON路径资产组,一种资产组，通过JSONPath查询表达式来动态定义其成员。
JSONPathAssetGroup_MVO,,JSON路径资产组,一种资产组，通过JSONPath查询表达式来动态定义其成员。
LightGeographicAddress_FVO,,轻量地理地址,一个简化的地理地址模型，只包含最核心的字段。
LightGeographicAddress_MVO,,轻量地理地址,一个简化的地理地址模型，只包含最核心的字段。
